Simulation	T01[F1]	T01[F2]	T01[F3]	T01[F4]	T02[F1]	T02[F2]	T02[F3]	T02[F4]	T03[F1]	T03[F2]	T03[F3]	T03[F4]	T04[F1]	T04[F2]	T04[F3]	T04[F4]	T05[F1]	T05[F2]	T05[F3]	T05[F4]	T06[F1]	T06[F2]	T06[F3]	T06[F4]	T07[F1]	T07[F2]	T07[F3]	T07[F4]	T08[F1]	T08[F2]	T08[F3]	T08[F4]	T09[F1]	T09[F2]	T09[F3]	T09[F4]	T10[F1]	T10[F2]	T10[F3]	T10[F4]	T11[F1]	T11[F2]	T11[F3]	T11[F4]	T12[F1]	T12[F2]	T12[F3]	T12[F4]	T13[F1]	T13[F2]	T13[F3]	T13[F4]	T14[F1]	T14[F2]	T14[F3]	T14[F4]	T15[F1]	T15[F2]	T15[F3]	T15[F4]	T16[F1]	T16[F2]	T16[F3]	T16[F4]	T17[F1]	T17[F2]	T17[F3]	T17[F4]	T18[F1]	T18[F2]	T18[F3]	T18[F4]	T19[F1]	T19[F2]	T19[F3]	T19[F4]	T20[F1]	T20[F2]	T20[F3]	T20[F4]	T21[F1]	T21[F2]	T21[F3]	T21[F4]	T22[F1]	T22[F2]	T22[F3]	T22[F4]	T23[F1]	T23[F2]	T23[F3]	T23[F4]	T24[F1]	T24[F2]	T24[F3]	T24[F4]	T25[F1]	T25[F2]	T25[F3]	T25[F4]	T26[F1]	T26[F2]	T26[F3]	T26[F4]	T27[F1]	T27[F2]	T27[F3]	T27[F4]	T28[F1]	T28[F2]	T28[F3]	T28[F4]	T29[F1]	T29[F2]	T29[F3]	T29[F4]	T30[F1]	T30[F2]	T30[F3]	T30[F4]	Groundwater	Avg Profit	Total Orchards
1	7.549611827	9.071531252	2.157005212	0.552628633	3.212219103	10.00345895	-5.134992074	-2.188854247	4.018138418	-3.502807999	3.925403766	-5.426458493	2.823440154	-2.189731211	-7.213936696	-10.99610733	-4.720500117	-2.750082052	1.775916232	-4.652852694	-2.986732456	3.711062986	-0.838918534	-5.457085325	0.463659802	5.667503192	-8.526007468	1.68556054	3.672906724	1.43987993	-1.575033445	-0.841733113	-0.213984903	-4.73891264	-1.457803398	4.890012233	4.184009345	-1.396341624	-2.485104462	-3.269523536	4.603137695	-6.861761993	-3.750552679	3.671375896	1.295826387	-3.439077982	5.298106188	-3.552388842	7.7057621	-2.895972831	-5.02965893	12.20848809	0.745096655	5.459198343	2.560882786	-0.670328945	-1.40630858	-3.98447227	5.22958342	1.747937621	-6.655713792	-0.081010997	5.890339628	10.65918105	-1.737193339	0.559424404	7.557690476	-6.181863233	-1.487225514	-3.235519021	1.466095871	4.301935546	-5.711066429	-0.658714844	-3.896269921	-1.959289321	5.638198363	-0.698667741	-4.670199618	2.749116739	-7.152328197	-1.141588713	-3.994473984	4.334345434	3.061966261	-2.40728152	7.993635898	-2.643605103	2.543403818	-0.80060764	0.799174929	3.8714793	5.747286079	8.480920046	14.55251695	12.97815092	7.602024494	-1.08834327	0.688241625	-6.703435397	0.325423631	6.240487369	8.45206789	-5.883486091	4.881290349	-2.608572681	6.769548122	7.14397544	-4.527237889	-8.869459256	2.143040516	2.163065432	-2.437252917	2.820665866	-4.076934002	8.211243632	0.538828553	-2.523743075	-7.590590832	1.016589148	897.6982181	67811.35122	173.7548339
2	-10.16303658	-7.179912329	-4.335089326	-5.38067162	1.423935145	2.946662903	-6.834046841	-5.029744506	-3.659602702	6.934614182	1.979472488	-9.759691954	4.021548927	1.212315857	-0.656966493	-5.050858259	-0.073564886	10.03786683	-4.62546438	1.680031866	0.716593862	11.16195917	-5.607658029	-7.035266161	-2.664453983	2.689816356	0.05447566	4.396278858	-0.789067596	-2.879755795	-2.804373205	-1.531627774	-1.752827913	4.356284142	-2.805834413	-0.872137174	-1.642838418	-7.419146299	-2.225324064	5.288451314	-3.963755965	-8.024843931	-7.237253189	-2.482190579	-5.399788618	8.506978154	1.803448647	-2.395238578	-4.952808619	1.872906983	-2.056818306	5.291768909	-2.805970609	-3.243545294	-8.024277687	0.582278669	-2.584791183	2.253879011	0.347587205	-2.482953519	8.104730844	-0.203006491	0.276964381	4.5826298	-3.432982862	2.38741979	6.034427285	4.194402397	3.270591795	-3.087688386	1.961777508	1.426860541	-0.15557535	-7.684983611	-0.03427455	-6.741699576	3.863098323	-7.38196075	-6.123808026	-1.713408083	10.18351316	4.567045867	0.185419191	-1.749063283	0.386056751	-2.904685438	10.98031759	6.687105894	5.376201868	-5.004647374	-7.197617888	-5.150734186	2.514000237	2.820616066	1.005380675	-0.785204843	5.635870099	-0.848255679	4.367448092	-0.539334789	-5.204597712	-0.141992606	4.31512326	8.621090055	-8.837103844	1.226824149	-8.69402051	9.645293951	-1.746620387	6.017163396	-6.816354394	3.306210339	-2.698894441	3.00739944	3.293996453	5.600776672	-11.97025776	7.93712616	0.52880913	1.477784365	1079.679318	55951.46436	108.3568075
3	-7.45085475	-6.602024287	-7.519162864	4.055920426	-2.873664107	0.403651763	-0.76326296	-8.425636996	0.870026405	-7.184638478	5.573976853	9.219129071	-0.657756342	-1.761836716	-14.77794738	0.951442977	4.602616134	1.31993443	-3.837723808	-2.610723622	-1.883740463	-7.73685493	-0.36835751	-1.787017876	-4.880898023	5.493575464	-1.256215604	3.948927826	1.521275775	-3.414935651	1.592628055	-2.69451775	-0.303506007	-1.792755711	-6.062751088	1.267558345	-0.611145015	4.645570466	-1.633782816	-0.946187022	6.631794231	5.080367081	5.674179225	6.878935033	-2.893455391	-10.95218201	-4.793674069	-1.914004495	4.583016033	2.526593757	5.232680897	2.568189852	3.799709978	-0.176768532	1.811932279	-8.617919344	-7.944419162	-2.668896078	7.617953044	10.69713896	2.105666697	1.31274943	5.428880708	-2.328319495	4.661727883	-0.669970993	-8.577746781	0.731880881	-1.813305226	1.456747095	-0.57256372	2.971279062	-11.23737623	3.483300039	10.08735116	-0.655850386	0.094792644	-1.915375731	5.530331891	-6.266288555	-4.024164991	-5.243842834	-1.825354925	-1.444582175	1.491415616	8.43494538	2.192682755	2.784852401	-0.473792813	9.705118676	-1.443215057	-7.413204823	-7.30608903	0.899241341	2.179568524	4.32354902	-1.691653383	-3.584018332	-2.924255055	-6.534455979	8.746509111	2.907495116	-1.991718881	0.921446213	-1.451008571	11.86934042	5.618134478	10.53721749	-6.215843984	-1.63342025	2.715911319	3.614633684	-3.77186932	-6.442983349	-6.418509356	-5.335238245	7.081127753	-0.113760059	2.351902983	0.484576131	1016.767109	60138.00376	125.2454892
4	3.252803981	-1.847319901	-3.801546097	15.83201408	8.612787724	3.873774707	-3.89805764	5.133367777	0.010292116	2.145764083	-2.647325397	-11.22489572	1.408578604	-7.399091721	1.723325402	3.23184669	-6.439720392	-0.415792018	7.849270701	3.492329419	-10.07311225	4.234187901	8.73108983	0.332657807	10.62731385	-3.548181951	-3.32554996	8.527526259	2.860199809	-5.674464703	3.763454258	-2.719263732	-7.309007049	0.086714244	0.638457462	4.159040451	5.810952783	-7.135646343	-1.912882775	4.318186045	-1.184120998	-4.346743822	5.495135784	-2.479119897	-5.384103656	4.672379196	-6.476296186	4.377383888	-5.159777999	4.821305573	-0.562350526	3.311061561	-1.822995842	-4.279027283	1.121552959	-0.665970519	4.053895175	-1.516015083	-12.66975999	-2.659154236	-0.382923596	-7.296745181	3.813253641	-5.102794766	5.566341877	-0.538072027	0.752486214	-0.979376435	-0.879512578	-9.829400182	5.281467438	-9.782989621	1.120933518	1.417679787	-7.87243247	-0.492257401	-7.792984247	0.777076706	-0.420768075	-7.385833859	3.620036542	0.749707147	4.089570045	8.974179029	3.951132298	-0.55728253	-1.324416101	2.105317712	1.14912577	-2.679653168	3.429955542	-2.659550905	3.742255867	3.361312151	-4.166559577	-0.075770789	0.510999896	5.978941321	-6.830683351	1.178342998	0.049364814	-4.213404655	3.479106426	-5.069098473	1.452437043	-3.310467899	-7.035538554	1.233014092	-3.825254738	3.446206748	1.958896369	-1.581729352	-0.915758982	0.186410118	4.21056509	-3.317826688	-0.605511926	5.622373223	0.303365625	-1.394574046	921.489799	67642.66029	104.2090412
5	-5.022248436	-0.678165403	5.057572067	-0.149232074	-1.915016114	-4.980459637	-9.952577585	5.132810183	-12.89684631	-0.845512278	7.560061102	0.801098916	5.144394104	-10.53942059	0.753422635	-3.720717909	3.972065481	-2.243437548	5.184248515	2.919152486	-3.084716237	-8.372566237	7.853387836	-6.987142802	-3.525325102	8.171752825	0.8062669	-5.803166777	5.791917655	-4.660224864	2.420713851	-0.918768265	-2.452331082	4.991889208	8.784175366	1.41688096	-0.570452078	-12.31384788	-3.174709295	-1.705566209	7.120646439	-7.489953919	6.146288652	1.645013768	-5.191641841	-3.295812275	-4.660620908	-1.219407966	-2.195706237	-7.08836041	1.908409415	0.404339674	-2.797681548	1.215458894	-1.056519666	-1.188591972	-4.413299223	-3.504382814	-5.033504266	5.990522501	-5.537018439	5.240532179	9.8796424	3.546907622	-3.788985804	5.528142839	3.668518053	-2.895011648	0.103828029	-6.550997241	11.63525286	-6.721082743	0.661501023	-6.104226105	1.998522665	1.083534788	-2.720897901	-5.956872383	-4.006319415	0.852239059	2.15891415	11.35865345	-3.655855759	-10.37629869	8.840164964	-2.923460175	6.852537565	-1.907362575	-4.168305697	7.986648737	1.657970906	3.274457421	0.249017822	4.681872663	-4.151221887	-3.510495945	0.209837511	5.250185507	0.300034747	-0.054830717	9.432206073	-8.696271248	5.337372077	4.201631549	2.767492321	-2.593913742	9.063732925	1.270202821	-0.755353598	-10.54899587	9.451435663	6.346254298	2.176794785	-2.741480983	-1.093700601	0.896761017	1.216629499	-2.756923368	-0.857917793	5.686276356	933.7481431	65488.17428	144.8404252
6	1.895625889	-3.841378093	1.471359432	-1.776223332	1.896631718	2.824751437	-0.60527809	-7.179527879	-0.443930104	4.158831835	5.336794257	1.771090031	-7.371120453	-1.358631402	0.424427614	6.777938604	5.78070879	-1.683405191	-0.789792687	-3.637423813	6.43275857	0.910211131	4.206564724	-2.637577355	0.109770875	6.940816045	3.542722464	1.973716766	5.546372533	-1.20402813	-5.568295717	4.451945424	-2.964387834	-1.768588722	-3.414548337	0.82025528	-0.025248129	-1.053681374	-2.224126905	-4.401032627	3.736783564	-7.057873607	-6.208031178	-0.803141072	-4.579825401	2.501582801	-7.103523612	2.664091289	5.438206792	0.053470675	-2.026709169	0.61974939	-0.359712429	-8.084936738	-5.285124183	0.577818193	7.542029619	-0.489506051	0.397808626	-3.805133402	-4.224918187	-7.002462149	-6.780506372	9.994219542	7.502131462	2.504656017	4.062528312	-0.180275459	5.520271659	-6.842818856	-2.791179419	-11.58643723	-5.230506659	0.975640118	6.468934417	2.07347542	0.504638031	2.55412668	-1.269071102	-3.090980649	0.400418602	-6.746205091	6.838008165	-5.724378228	2.336587459	0.543215871	5.836588144	-7.953705788	-3.386597335	0.452847406	0.011409627	8.38064909	-8.190908432	-5.79710722	0.048455778	1.349587888	1.126582101	2.727428675	-6.244243979	5.862321258	-3.661743701	-0.255490132	-1.444207579	0.68259418	-10.42045712	8.087207675	-2.230554372	-3.049044013	0.377933457	-1.660018116	-1.67727083	7.358163595	0.546073206	4.474385679	3.504666388	-6.548617482	-7.851885557	-1.711744368	2.758968472	-3.4719643	935.0020333	66524.04992	112.7459917
7	-5.581501555	-7.934774756	2.395494561	-1.893151364	13.1424419	1.76081878	-7.293948118	-5.824744968	-0.372527906	2.55207238	-2.234455477	-9.943500347	0.313264691	12.08433383	5.095894457	-4.166481545	-2.437530902	9.336957073	-8.569180727	9.913949673	4.707975797	-1.786580294	2.31599191	-8.702917785	-4.649043645	11.85831527	2.072370875	1.545667514	-2.964256264	-2.538671663	-8.540860682	1.734856361	-0.234124555	-2.316501327	-6.55565834	4.36602322	-0.967255265	0.276445768	-6.390971266	-3.001372036	-4.01137413	-2.437821964	10.55836882	0.816511782	1.625219643	2.660040319	-1.716875161	0.834169	6.01665182	3.823355234	1.539977954	-1.423089484	0.328075153	-4.997863095	8.089844979	2.622682729	-0.559450675	-2.012081632	1.921269776	-5.746426811	-5.345975635	0.704347995	6.251149447	4.751989143	3.049458591	-1.779202798	-3.334595879	-0.863137105	7.954814047	-2.568515607	2.353177479	-2.047470914	1.199361388	-6.41820873	-1.810803629	-1.991535461	4.344826289	-0.552876779	-11.53842651	11.47934388	-0.70188718	10.90730261	5.994729142	-6.742371232	-0.384112012	-1.476186655	-7.33686194	0.999755537	2.895719443	-5.146738431	-7.00103445	5.746796614	-0.036011241	-1.879283769	7.009847551	4.930757994	-8.697451437	-8.183936585	2.928966363	-12.82952308	2.426714375	-8.165724844	-0.28864158	-13.0785961	-2.729189876	5.301321266	-4.678145156	-2.955760747	-5.416871242	-5.668106795	1.828060089	-6.943794902	0.181154528	5.323295037	0.049186292	3.865842887	-2.034866102	0.403885775	-2.008235469	-2.271737247	938.1959848	65749.67592	122.0642534
8	-2.061393559	0.725081787	-5.308077931	9.243400693	-2.572777569	-3.219611049	-3.254450858	-3.481906056	-11.79913044	0.891726986	-4.801180065	6.946401	-3.802725375	2.708962858	6.178727746	4.526503682	3.517554998	1.639122218	5.877800584	-6.345555186	0.732447281	-4.604196548	3.281150758	5.859123468	-8.687901497	-3.908866942	2.358323187	3.182539642	-6.124324799	4.441680908	-1.536609977	-0.863196999	-0.533624589	-4.198615253	-2.583991587	-2.284768075	-6.048117876	1.300365031	7.048111558	0.391898118	1.406429559	-5.607267022	4.09848243	-5.642630458	2.962970734	-3.108162582	-4.604079127	4.196771085	-3.488419056	7.417141199	0.281629693	14.02442932	1.494555622	5.174266696	-7.078256607	-5.016145706	-7.691473365	-8.625449538	5.704291463	1.498046368	1.353983283	10.21661162	2.395412475	5.610331297	3.218405247	-6.043331027	-1.581207812	-3.564557135	6.184931993	-0.237782784	6.432307363	-1.43056199	2.098291665	-6.752436757	-0.035868578	4.952723682	-11.79375648	-4.895478189	-8.146181107	7.49024272	-1.813974828	0.587054156	-2.367886603	5.682877302	4.01484102	6.189343929	4.11642462	4.911041856	-4.269070923	1.445878893	-8.408061266	7.380174994	-1.729235351	-0.554908812	-9.234466553	0.57108622	5.398412347	1.777803302	-4.488838315	1.029263362	2.006614953	-10.08158326	-4.466272891	1.221354231	2.62242347	-0.499689579	5.695631504	6.924699545	-2.540625036	-8.303460479	0.538659729	-5.150489807	0.39275568	3.223924637	-1.406992227	-2.460753918	5.989538431	5.45072794	-2.777769566	-0.817326158	931.1843861	66098.54853	135.6864918
9	10.45592193	-9.116823894	2.383684042	3.765806368	-1.125421813	6.764320423	-1.495873256	6.392304296	-4.706807541	-7.408878022	-9.539752997	0.133680143	-2.883051082	-1.665921853	-7.675014214	-5.358712735	-3.45056347	-11.54830201	2.300801274	-3.749221436	0.393577034	0.458801448	-4.888891571	0.464248901	5.676086675	6.496831668	-0.354446774	-10.91103433	0.076256536	7.931213929	-7.865498928	-1.721024303	4.019298847	-0.435688285	3.380554349	-0.583240198	-8.678879656	6.43700055	-3.597900785	-1.411138665	-2.715572481	-1.439953521	-4.217839944	6.927375927	0.946456521	6.759677318	-2.008204941	8.517484328	5.101598107	3.752879715	-6.388980139	5.8858713	8.839528281	-10.15456997	1.61870041	-2.640714656	-1.487580723	6.330563159	-0.875649661	-1.175826394	0.996611646	-1.507982987	-5.743095274	-5.048435361	0.873944461	-0.499992315	-0.817710271	-1.369500191	-7.515886608	0.120254253	2.152026183	2.0942957	-6.12444993	2.130479403	-0.431941815	-7.918303681	-6.339488148	5.242371709	-3.446558903	7.726842926	-0.535468762	-9.03305779	0.965720024	2.797279711	-3.109710047	-0.283006672	-4.542241978	-1.732662573	9.667691036	-0.944301691	8.618300945	1.422193338	0.021138604	-5.261370446	-1.42462011	5.60800241	6.646978786	0.832450274	8.196444448	-6.948788726	3.556376963	0.882394492	2.679893264	-1.832947257	1.120187783	-0.368484834	-1.042927074	-1.203364593	-7.187514512	6.434963573	2.178929169	0.546373083	1.816122572	10.10691479	12.91352392	-4.287023394	1.528831114	-0.345657894	-1.249644486	-1.991066159	939.2891382	65344.30222	135.6554905
10	-3.146979213	-0.564049482	-7.648440003	-2.088967413	5.350055099	-5.136345029	-1.219562814	-8.919517398	-4.244544208	-0.713296831	-4.757917821	-6.062700152	-1.442523152	-5.565242171	4.111997187	3.966247141	-1.680343449	3.718529344	2.321565449	-0.76269567	2.642053962	-0.484195761	-9.282413125	0.929770544	5.058575273	2.94537276	-2.065702528	-3.437637687	-12.38307714	-2.813130915	-3.083414435	-3.079153001	-3.063777089	-3.201017976	-3.318354189	-2.010674924	-4.547533691	3.689484894	-10.77862382	-1.116746664	-1.359237581	3.585036099	5.647097826	-9.519438148	1.892873645	3.897563219	2.913103104	3.785186708	2.234135419	-6.607825756	-0.737217814	-4.178655744	-0.211323965	-2.613085508	-4.997986555	-3.470899761	0.93134135	0.303766225	-1.681413502	-1.630785465	-7.850712538	-4.690287113	7.276243567	3.060685098	2.711925507	-5.692088604	-3.448571265	9.270552397	-6.441441178	-5.583849549	-0.747893825	-6.08022511	-1.572776735	-0.27730044	-0.979271382	0.217124447	-11.46036148	0.117499381	3.021322489	7.063858509	0.341973901	1.565605551	2.352107763	5.887421966	-7.27704227	-0.310994759	-1.333603412	8.121479154	2.630383968	4.208098054	0.928191394	2.653948665	0.159415361	1.036722139	1.064355001	-4.050433338	-4.939074218	3.587550223	0.73342666	-0.190259255	-14.46309447	5.083529949	6.305764318	-0.838092417	-7.270457149	-4.077998698	0.747335032	-5.29094696	2.745643258	-4.900056124	-2.519133091	4.343058467	-8.163912892	7.354050279	-4.655364752	-0.770668685	7.054107785	2.715256512	-1.41757071	5.371251702	1038.815673	59823.27567	82.57558424
